games_played,player_efficiency_rating,offensive_plus_minus,value_over_replace_player,three_pointer_made_per_game,three_pointer_attempts_per_game,two_pointer_made_per_game,two_pointer_attempts_per_game,free_throw_made_per_game,free_throw_attempts_per_game,defensive_rebound_per_game,assists_per_game,steals_per_game,turnovers_per_game,points_per_game,position_PF,position_PG,position_SF,position_SG,conference_WEST,starter,win_shares
55,10.0,-3.4,-0.9474769110822778,-0.8209196610201621,-0.8879291441105951,-0.06259786996442912,-0.07557679951983147,-0.25542263737108367,-0.21463438032652296,1.9,1.0,0.4,1.1,6.1,0,0,1,0,0,1,1.1
40,3.3,-6.2,-0.9474769110822778,-0.8209196610201621,-0.8879291441105951,-0.9862712777252147,-0.8904597499387573,-0.8698460023431905,-0.7666531592836182,1.8,0.6,0.0,0.8,2.1,0,0,0,0,1,0,-0.4
80,17.0,1.6,1.3693289483383335,-0.5190757382500063,-0.6022219361844723,2.7627560831862095,2.640699701876588,1.5878474575452375,1.3800865366606414,2.4,3.6,1.0,2.2,19.4,0,0,0,1,1,1,6.8
50,11.5,-2.4,-0.45101851263500403,-0.2172318154798505,0.02633392125299788,0.6980743481915119,1.1739103911225217,-0.17861971674957025,-0.2759698002106446,2.0,4.2,1.6,2.2,10.1,0,1,0,0,0,1,-0.3
81,16.9,1.5,1.948530413193486,-0.6699976996350843,-0.7165048193549214,0.7524080780597935,0.6578178558572019,-0.17861971674957025,-0.21463438032652296,2.0,10.7,2.0,1.8,9.4,0,1,0,0,0,1,6.7
75,7.2,-4.6,-0.20278931341136713,-0.6699976996350843,-0.5450804945992478,-1.0949387374617778,-1.0534363400225424,-0.9466489229647039,-0.82798857916774,3.2,0.5,0.2,0.7,1.9,0,0,0,0,1,1,0.0
66,8.8,-3.5,-0.533761579042883,-0.6699976996350843,-0.7165048193549214,-0.4972677089106812,-0.37436721467343775,-0.7162401611001639,-0.7666531592836182,1.2,1.5,0.6,0.9,4.3,0,0,0,1,1,1,0.7
68,16.2,-0.7,-0.03730318059560918,-0.6699976996350843,-0.6022219361844723,1.2957453767426086,1.7171656914018054,2.1254679018958305,2.1774469951542232,7.1,1.3,0.6,1.8,14.7,0,0,0,0,0,1,4.7
11,16.9,-0.9,-0.45101851263500403,-0.6699976996350843,-0.8307877025253705,-0.22559905956927354,0.005911495522061071,-0.17861971674957025,-0.030628120674157815,1.1,0.4,0.5,0.7,5.9,0,0,1,0,1,0,0.0
30,11.6,-2.9,-0.616504645450762,-0.8209196610201621,-0.8879291441105951,0.15473704950869688,0.19605085061981048,-0.33222555799259695,-0.21463438032652296,2.8,0.4,0.3,0.9,6.8,0,0,0,0,0,0,0.6
51,13.6,-2.0,-0.3682754462271251,-0.8209196610201621,-0.8879291441105951,0.8610755377963566,1.2282359211504499,0.2053948863579966,0.46005523839881574,3.5,1.6,0.6,1.3,10.2,0,0,0,0,1,1,1.4
78,13.3,-1.7,0.2109260186280278,-0.8209196610201621,-0.8879291441105951,0.046069589772134,-0.157065094561724,-0.25542263737108367,-0.1532989604424012,3.1,1.3,0.8,1.2,6.6,0,0,0,0,1,1,3.8
72,14.2,0.5,0.12818295222014872,-0.2172318154798505,-0.2593732866731249,-0.7689363582520887,-0.7546459248689363,-0.6394372404786506,-0.7666531592836182,0.7,2.9,0.7,0.5,4.4,0,1,0,0,0,1,2.7
75,11.9,-3.0,-0.9474769110822778,-0.8209196610201621,-0.8307877025253705,0.10040331964041531,0.11456255557791795,0.12859196573648315,0.0920427190940857,2.0,0.7,0.4,0.9,7.3,0,0,1,0,0,1,2.2
82,12.8,-1.7,-0.3682754462271251,-0.8209196610201621,-0.8879291441105951,-0.2799327894375551,-0.3472044496594734,0.28219780697950986,0.21471355886232896,3.2,0.6,0.4,1.1,6.2,0,0,0,0,1,1,3.7
16,-0.9,-10.8,-0.616504645450762,-0.8209196610201621,-0.8879291441105951,-1.1492724673300594,-0.9991108099946142,-1.1770576848292442,-1.1960010984724703,0.3,0.3,0.0,0.4,1.0,1,0,0,0,1,0,-0.2
61,8.2,-3.9,-0.78199077826652,-0.6699976996350843,-0.7165048193549214,-0.6602688985155257,-0.6731576298270437,-0.7162401611001639,-0.7053177393994966,0.5,0.7,0.5,0.8,3.6,0,0,1,0,0,1,0.0
16,10.1,-3.6,-0.45101851263500403,-0.8209196610201621,-0.8879291441105951,-0.9319375478569333,-0.9719480449806499,-0.8698460023431905,-0.5826468996312532,0.7,0.2,0.4,0.4,2.3,0,0,1,0,0,0,0.2
58,9.1,-3.5,-0.616504645450762,-0.8209196610201621,-0.8879291441105951,-0.7689363582520887,-0.7818086898829005,-0.7930430817216773,-0.7053177393994966,1.6,0.2,0.3,0.4,2.9,1,0,0,0,1,1,1.0
18,0.0,-9.7,-0.616504645450762,-0.8209196610201621,-0.8307877025253705,-1.1492724673300594,-0.9991108099946142,-0.9466489229647039,-1.0733302587042268,0.1,0.6,0.1,0.6,1.3,0,0,0,1,1,0,-0.3
13,-4.9,-13.6,-0.533761579042883,-0.8209196610201621,-0.8879291441105951,-1.3122736569349036,-1.2435756951202919,-1.1770576848292442,-1.1346656785883487,0.5,0.1,0.0,0.2,0.5,0,0,0,0,0,0,-0.1
82,14.5,0.7,0.6246413506674227,-0.8209196610201621,-0.8879291441105951,0.7524080780597935,0.6578178558572019,0.2053948863579966,0.33738439863057246,6.3,0.9,1.0,1.1,9.7,0,0,0,0,1,1,6.8
51,9.5,-5.3,-0.616504645450762,-0.8209196610201621,-0.8879291441105951,-0.9862712777252147,-1.0805991050365067,-0.9466489229647039,-0.9506594189359834,1.4,0.1,0.2,0.6,1.9,1,0,0,0,1,1,0.4
82,17.1,1.6,1.0383566827068176,-0.6699976996350843,-0.48793905301402324,3.306093381869024,3.564233712351371,3.047102949353991,2.9748074536478057,3.0,2.6,1.4,3.1,23.2,0,0,0,1,1,1,5.3
44,13.7,-0.9,-0.20278931341136713,-0.8209196610201621,-0.8307877025253705,0.15473704950869688,0.005911495522061071,0.2053948863579966,0.1533781389782072,2.3,1.2,0.3,1.2,7.6,1,0,0,0,0,1,1.5
33,18.8,0.9,-0.20278931341136713,-0.8209196610201621,-0.8307877025253705,2.3280862442399575,2.369072051736946,2.5094825050033975,2.3614532548065887,3.3,2.0,0.5,2.2,18.6,1,0,0,0,1,0,1.9
46,11.8,-3.2,-0.6992477118586409,-0.8209196610201621,-0.8879291441105951,0.480739428718386,0.9022827409828796,0.2053948863579966,0.1533781389782072,3.7,0.9,0.4,1.4,8.8,0,0,0,0,0,1,0.6
30,13.8,-3.3,-0.45101851263500403,-0.8209196610201621,-0.8879291441105951,1.35007910661089,1.7171656914018054,0.12859196573648315,0.1533781389782072,4.7,1.8,0.9,2.6,11.9,0,0,0,0,1,0,0.1
71,12.8,-1.3,-0.6992477118586409,-0.8209196610201621,-0.8879291441105951,0.8067418079280748,0.7936316809270229,1.280635775059184,1.1347448571241545,4.6,2.0,0.5,1.7,11.4,0,0,0,0,0,1,4.5
